                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0085,                 1.9452,                 1.2858,                0.72088,                0.55938,                0.65102,                0.46828,                0.97221,                 1.3259,                 1.3278,             0.00023465,             0.00023465,             0.00023465
                      2,                 1.0712,                 1.3946,                 1.2955,                0.62375,                 0.5776,                0.62639,                0.39645,                 1.1182,                 1.3743,                 1.4673,             0.00047109,             0.00047109,             0.00047109
                      3,                    1.1,                 1.4395,                 1.3649,                0.45016,                0.46476,                0.38326,                0.24356,                 1.1507,                 1.9032,                 1.4458,             0.00070596,             0.00070596,             0.00070596
                      4,                 1.1105,                  1.377,                 1.3597,                0.62911,                0.34172,                  0.414,                0.24659,                 1.3199,                 1.9599,                 1.6183,             0.00070693,             0.00070693,             0.00070693
                      5,                  1.094,                 1.3156,                 1.3586,                0.63841,                0.58169,                0.60199,                0.41723,                 1.1022,                 1.3521,                 1.4355,             0.00070458,             0.00070458,             0.00070458
                      6,                 1.0686,                 1.2714,                 1.3527,                0.63738,                0.62212,                 0.6501,                0.39686,                 1.2157,                 1.6376,                 1.4901,             0.00070222,             0.00070222,             0.00070222
                      7,                 1.0955,                 1.2587,                 1.3373,                0.71199,                0.60662,                0.68074,                0.42584,                 1.1477,                 1.1752,                 1.4344,             0.00069986,             0.00069986,             0.00069986
                      8,                 1.0632,                 1.1584,                  1.338,                0.63587,                0.68685,                0.69529,                0.49079,                 1.0642,                 1.0361,                 1.3894,             0.00069751,             0.00069751,             0.00069751
                      9,                 1.0425,                 1.1491,                  1.334,                0.77169,                0.75376,                0.81229,                0.56669,                 1.0527,                0.93277,                 1.3592,             0.00069515,             0.00069515,             0.00069515
                     10,                 1.0552,                 1.0931,                 1.3008,                0.78281,                0.64791,                0.75626,                0.52832,                 1.0473,                 1.0001,                 1.3699,             0.00069279,             0.00069279,             0.00069279
                     11,                  1.022,                 1.0976,                 1.3222,                0.74447,                 0.7507,                0.82207,                0.58379,                  1.015,                0.83248,                 1.3273,             0.00069044,             0.00069044,             0.00069044
                     12,                0.99381,                0.99846,                 1.2721,                0.75872,                0.74618,                0.82062,                 0.5937,                0.99684,                0.82711,                 1.3018,             0.00068808,             0.00068808,             0.00068808
                     13,                0.97813,                 0.9758,                 1.2687,                0.74515,                0.67695,                0.79995,                0.56959,                 1.0595,                 0.8931,                 1.3613,             0.00068573,             0.00068573,             0.00068573
                     14,                0.97892,                0.97345,                 1.2756,                 0.7511,                0.71251,                0.79486,                0.54673,                 1.0453,                0.87451,                 1.3487,             0.00068337,             0.00068337,             0.00068337
                     15,                0.97829,                0.94891,                 1.2783,                 0.7662,                0.72909,                0.81237,                0.60161,                0.96236,                 0.8196,                 1.2892,             0.00068101,             0.00068101,             0.00068101
                     16,                0.92675,                0.91646,                 1.2537,                0.81728,                0.76866,                0.85008,                0.63261,                0.96636,                0.73017,                 1.2931,             0.00067866,             0.00067866,             0.00067866
                     17,                0.95069,                0.92767,                 1.2727,                0.71879,                0.82421,                0.84994,                 0.6219,                0.96106,                0.78404,                 1.2992,              0.0006763,              0.0006763,              0.0006763
                     18,                0.98371,                0.94734,                 1.2574,                0.79662,                0.81918,                0.84448,                0.62678,                0.96131,                0.77128,                 1.2709,             0.00067394,             0.00067394,             0.00067394
                     19,                0.93481,                0.90814,                 1.2531,                0.86955,                0.73094,                0.85261,                0.62648,                 0.9929,                0.75756,                 1.3216,             0.00067159,             0.00067159,             0.00067159
